date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:38	200/200	---MCZ	200	added ('OK')	text/plain	etag:W/%22422e3776d3116b173c4db1a1d8f0ac38%22	https://boostroyal.fr/robots.txt		(from )
19:00:38	132590/132590	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202023%2018:00:08%20GMT	https://boostroyal.fr/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/index.html	(from )
19:00:39	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2002%20Jun%202023%2018:00:09%20GMT	https://d1dou5kerfs1ji.cloudfront.net/uploads/employees/default.jpg	C:/My%20Web%20Sites/lol%20boosting/d1dou5kerfs1ji.cloudfront.net/uploads/employees/default.0.delayed	(from https://boostroyal.fr/)
19:00:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:09%20GMT	http://boostroyal.fr/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/apple-touch-icon.1.delayed	(from https://boostroyal.fr/)
19:00:40	10886/10886	---M--	200	added ('OK')	image/png	etag:%22355e551486ae14eae2e3d1aa5d7d8ec7%22	https://boostroyal.fr/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/apple-touch-icon.png	(from https://boostroyal.fr/)
19:00:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:10%20GMT	http://boostroyal.fr/favicons/favicon-32x32.png	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/favicon-32x32.png	(from https://boostroyal.fr/)
19:00:40	1767/1767	---M--	200	added ('OK')	image/png	etag:%227aebc614e10e634bc83692bc54496cab%22	https://boostroyal.fr/favicons/favicon-32x32.png	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/favicon-32x32.png	(from https://boostroyal.fr/)
19:00:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:11%20GMT	http://boostroyal.fr/favicons/favicon-16x16.png	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/favicon-16x16.png	(from https://boostroyal.fr/)
19:00:41	1240/1240	---M--	200	added ('OK')	image/png	etag:%2233445bcda1d7760a1c46843ffd86a8bb%22	https://boostroyal.fr/favicons/favicon-16x16.png	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/favicon-16x16.png	(from https://boostroyal.fr/)
19:00:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:11%20GMT	http://boostroyal.fr/favicons/site.webmanifest	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/site.webmanifest	(from https://boostroyal.fr/)
19:00:41	426/426	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%2296b661c14ade9a40518e17922bed50c6%22	https://boostroyal.fr/favicons/site.webmanifest	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/site.webmanifest	(from https://boostroyal.fr/)
19:00:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:12%20GMT	http://boostroyal.fr/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/favicons/safari-pinned-tab.svg	(from https://boostroyal.fr/)
